Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Boinville-le-Gaillard;78;78071;2.46;2014;;
Boinville-le-Gaillard;78;78071;2.54;2015;;
Boinville-le-Gaillard;78;78071;2.58;2016;2.05;4.63
Boinville-le-Gaillard;78;78071;2.6;2017;1.99;4.59
Boinville-le-Gaillard;78;78071;2.59;2018;2.08;4.67
Boinville-le-Gaillard;78;78071;2.61;2019;2.1;4.71
Boinville-le-Gaillard;78;78071;2.64;2020;2.17;4.81
Boinville-le-Gaillard;78;78071;2.67;2021;2.54;5.21
Boinville-le-Gaillard;78;78071;2.7;2022;2.8;5.5
Boinville-le-Gaillard;78;78071;2.72;2023;;
Boinvilliers;78;78072;;2012;;
Boinvilliers;78;78072;2.02;2013;;
Boinvilliers;78;78072;2.06;2014;;
Boinvilliers;78;78072;2.07;2015;;
Boinvilliers;78;78072;2.06;2016;;
Boinvilliers;78;78072;2.07;2017;;
Boinvilliers;78;78072;2.1;2018;;
Boinvilliers;78;78072;2.1;2019;;
Boinvilliers;78;78072;2.13;2020;;
Boinvilliers;78;78072;2.18;2021;;
Boinvilliers;78;78072;2.88;2022;;
Boinvilliers;78;78072;2.99;2023;;
Bois-d'Arcy;78;78073;4.22;2012;;
Bois-d'Arcy;78;78073;3.12;2013;;
Bois-d'Arcy;78;78073;3.61;2014;;
Bois-d'Arcy;78;78073;2.72;2015;;
Bois-d'Arcy;78;78073;2.84;2016;;
Bois-d'Arcy;78;78073;2.52;2017;;
Bois-d'Arcy;78;78073;5.6;2018;;
Bois-d'Arcy;78;78073;5.3;2019;;
Bois-d'Arcy;78;78073;5.2;2020;;
Bois-d'Arcy;78;78073;2.45;2021;;
Bois-d'Arcy;78;78073;2.66;2022;;
Bois-d'Arcy;78;78073;2.69;2023;;
Boissets;78;78076;;2012;;
Boissets;78;78076;;2013;;
Boissets;78;78076;;2014;;
Boissets;78;78076;;2015;;
Boissets;78;78076;;2016;;
Boissets;78;78076;19.66;2017;;
Boissets;78;78076;;2018;;
Boissets;78;78076;3.07;2019;;
Boissets;78;78076;2.22;2020;;
Boissets;78;78076;3.19;2021;;
Boissets;78;78076;3.14;2022;;
Boissets;78;78076;2.84;2023;;
La Boissière-École;78;78077;3.05;2012;;
La Boissière-École;78;78077;3.13;2013;;
La Boissière-École;78;78077;3.26;2014;;
La Boissière-École;78;78077;3.41;2015;;
La Boissière-École;78;78077;3.51;2016;;
La Boissière-École;78;78077;3.67;2017;;
La Boissière-École;78;78077;3.79;2018;;
La Boissière-École;78;78077;3.57;2019;;
La Boissière-École;78;78077;3.96;2020;;
La Boissière-École;78;78077;4.0;2021;;
La Boissière-École;78;78077;4.1;2022;;
La Boissière-École;78;78077;4.16;2023;;
Boissy-sans-Avoir;78;78084;;2012;;
Boissy-sans-Avoir;78;78084;2.02;2013;;
Boissy-sans-Avoir;78;78084;2.06;2014;;
Boissy-sans-Avoir;78;78084;2.07;2015;;
