code_commune;code_departement;nom_departement;nom_commune;code_prelevement;date_prelevement;conclusion_conformite_prelevement;conformite_limites_bact_prelevement;conformite_limites_pc_prelevement;conformite_references_bact_prelevement;conformite_references_pc_prelevement;qualite_generale
93046;93;Seine-Saint-Denis;LIVRY-GARGAN;9300143010;2024-12-19 12:15:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93047;93;Seine-Saint-Denis;MONTFERMEIL;9300143015;2024-12-20 10:34:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93048;93;Seine-Saint-Denis;MONTREUIL;9300143019;2024-12-20 08:51:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93049;93;Seine-Saint-Denis;NEUILLY-PLAISANCE;9300142975;2024-12-16 10:55:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93050;93;Seine-Saint-Denis;NEUILLY-SUR-MARNE;9300142971;2024-12-11 09:14:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93051;93;Seine-Saint-Denis;NOISY-LE-GRAND;9300143025;2024-12-20 10:09:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93053;93;Seine-Saint-Denis;NOISY-LE-SEC;9300142999;2024-12-18 11:43:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93055;93;Seine-Saint-Denis;PANTIN;9300143018;2024-12-20 12:00:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93057;93;Seine-Saint-Denis;PAVILLONS-SOUS-BOIS (LES);9300142903;2024-12-06 11:17:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93059;93;Seine-Saint-Denis;PIERREFITTE-SUR-SEINE;9300142755;2024-11-22 10:21:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93061;93;Seine-Saint-Denis;PRE-SAINT-GERVAIS (LE);9300142870;2024-12-03 14:24:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93062;93;Seine-Saint-Denis;RAINCY (LE);9300142959;2024-12-09 12:24:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93063;93;Seine-Saint-Denis;ROMAINVILLE;9300142990;2024-12-17 13:14:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93064;93;Seine-Saint-Denis;ROSNY-SOUS-BOIS;9300142998;2024-12-18 09:12:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93066;93;Seine-Saint-Denis;SAINT-DENIS;9300143022;2024-12-20 10:22:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93070;93;Seine-Saint-Denis;SAINT-OUEN;9300143023;2024-12-20 12:32:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93071;93;Seine-Saint-Denis;SEVRAN;9300143020;2024-12-20 13:06:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93072;93;Seine-Saint-Denis;STAINS;9300143024;2024-12-20 10:02:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93073;93;Seine-Saint-Denis;TREMBLAY-EN-FRANCE;9300142992;2024-12-17 11:37:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93074;93;Seine-Saint-Denis;VAUJOURS;9300142730;2024-11-20 12:06:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93077;93;Seine-Saint-Denis;VILLEMOMBLE;9300142944;2024-12-13 08:45:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93078;93;Seine-Saint-Denis;VILLEPINTE;9300143004;2024-12-17 13:50:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93079;93;Seine-Saint-Denis;VILLETANEUSE;9300142978;2024-12-16 11:20:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
94022;93;Seine-Saint-Denis;CHOISY-LE-ROI;9300142131;2024-10-02 13:40:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
95088;93;Seine-Saint-Denis;BONNEUIL-EN-FRANCE;9300142466;2024-10-22 11:44:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
95394;93;Seine-Saint-Denis;MERY-SUR-OISE;9300142288;2024-09-25 11:05:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
95527;93;Seine-Saint-Denis;ROISSY-EN-FRANCE;9300142737;2024-11-21 12:44:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
