Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Béthemont-la-Forêt;95;95061;2.05;2014;;
Béthemont-la-Forêt;95;95061;2.06;2015;;
Béthemont-la-Forêt;95;95061;1.97;2016;;
Béthemont-la-Forêt;95;95061;1.97;2017;;
Béthemont-la-Forêt;95;95061;1.97;2018;;
Béthemont-la-Forêt;95;95061;1.86;2019;;
Béthemont-la-Forêt;95;95061;2.09;2020;;
Béthemont-la-Forêt;95;95061;2.13;2021;;
Béthemont-la-Forêt;95;95061;2.25;2022;;
Béthemont-la-Forêt;95;95061;2.32;2023;;
Bezons;95;95063;2.05;2012;;
Bezons;95;95063;2.04;2013;;
Bezons;95;95063;2.05;2014;;
Bezons;95;95063;2.06;2015;;
Bezons;95;95063;1.97;2016;;
Bezons;95;95063;1.97;2017;;
Bezons;95;95063;1.97;2018;;
Bezons;95;95063;1.86;2019;;
Bezons;95;95063;2.09;2020;;
Bezons;95;95063;2.13;2021;;
Bezons;95;95063;2.25;2022;;
Bezons;95;95063;2.32;2023;;
Boisemont;95;95074;1.91;2012;;
Boisemont;95;95074;1.9;2013;;
Boisemont;95;95074;1.87;2014;;
Boisemont;95;95074;1.86;2015;;
Boisemont;95;95074;1.83;2016;;
Boisemont;95;95074;1.85;2017;;
Boisemont;95;95074;2.06;2018;;
Boisemont;95;95074;1.79;2019;;
Boisemont;95;95074;1.99;2020;;
Boisemont;95;95074;2.09;2021;;
Boisemont;95;95074;2.35;2022;;
Boisemont;95;95074;2.43;2023;;
Bonneuil-en-France;95;95088;;2012;;
Bonneuil-en-France;95;95088;;2013;;
Bonneuil-en-France;95;95088;;2014;;
Bonneuil-en-France;95;95088;2.33;2015;;
Bonneuil-en-France;95;95088;2.44;2016;;
Bonneuil-en-France;95;95088;2.34;2017;;
Bonneuil-en-France;95;95088;2.41;2018;;
Bonneuil-en-France;95;95088;2.48;2019;;
Bonneuil-en-France;95;95088;2.51;2020;;
Bonneuil-en-France;95;95088;2.71;2021;;
Bonneuil-en-France;95;95088;2.8;2022;;
Bonneuil-en-France;95;95088;3.06;2023;;
Bouffémont;95;95091;2.89;2012;;
Bouffémont;95;95091;;2013;;
Bouffémont;95;95091;2.6;2014;;
Bouffémont;95;95091;3.17;2015;;
Bouffémont;95;95091;3.19;2016;;
Bouffémont;95;95091;2.63;2017;;
Bouffémont;95;95091;2.69;2018;;
Bouffémont;95;95091;2.73;2019;;
Bouffémont;95;95091;2.72;2020;;
Bouffémont;95;95091;2.82;2021;;
Bouffémont;95;95091;2.97;2022;;
Bouffémont;95;95091;3.09;2023;;
Bouqueval;95;95094;3.06;2012;;
Bouqueval;95;95094;3.08;2013;;
Bouqueval;95;95094;;2014;;
Bouqueval;95;95094;;2015;;
Bouqueval;95;95094;;2016;;
Bouqueval;95;95094;;2017;;
Bouqueval;95;95094;3.43;2018;;
Bouqueval;95;95094;3.78;2019;;
Bouqueval;95;95094;3.65;2020;;
Bouqueval;95;95094;3.8;2021;;
Bouqueval;95;95094;;2022;;
Bouqueval;95;95094;4.24;2023;;
Bray-et-Lû;95;95101;;2012;;
Bray-et-Lû;95;95101;;2013;;
Bray-et-Lû;95;95101;3.2;2014;;
Bray-et-Lû;95;95101;3.21;2015;;
Bray-et-Lû;95;95101;3.17;2016;;
Bray-et-Lû;95;95101;;2017;;
Bray-et-Lû;95;95101;;2018;;
Bray-et-Lû;95;95101;;2019;;
Bray-et-Lû;95;95101;;2020;;
Bray-et-Lû;95;95101;;2021;;
Bray-et-Lû;95;95101;3.78;2022;;
Bray-et-Lû;95;95101;3.74;2023;;
Bréançon;95;95102;2.84;2012;;
Bréançon;95;95102;2.81;2013;;
Bréançon;95;95102;2.8;2014;;
Bréançon;95;95102;2.84;2015;;
Bréançon;95;95102;2.83;2016;;
Bréançon;95;95102;2.9;2017;;
Bréançon;95;95102;3.16;2018;;
Bréançon;95;95102;3.19;2019;;
Bréançon;95;95102;3.15;2020;;
Bréançon;95;95102;3.25;2021;;
Bréançon;95;95102;3.53;2022;;
Bréançon;95;95102;3.53;2023;;
Brignancourt;95;95110;;2012;;
Brignancourt;95;95110;;2013;;
Brignancourt;95;95110;;2014;;
Brignancourt;95;95110;;2015;;
Brignancourt;95;95110;;2016;;
Brignancourt;95;95110;;2017;;
Brignancourt;95;95110;;2018;;
Brignancourt;95;95110;;2019;;
Brignancourt;95;95110;;2020;;
Brignancourt;95;95110;1.5;2021;;
Brignancourt;95;95110;;2022;;
Brignancourt;95;95110;6.1;2023;;
Butry-sur-Oise;95;95120;2.05;2012;;
Butry-sur-Oise;95;95120;2.04;2013;;
Butry-sur-Oise;95;95120;2.05;2014;;
Butry-sur-Oise;95;95120;2.06;2015;;
Butry-sur-Oise;95;95120;1.97;2016;;
Butry-sur-Oise;95;95120;1.97;2017;;
Butry-sur-Oise;95;95120;1.97;2018;;
Butry-sur-Oise;95;95120;1.86;2019;;
Butry-sur-Oise;95;95120;2.09;2020;;
Butry-sur-Oise;95;95120;2.13;2021;;
Butry-sur-Oise;95;95120;2.25;2022;;
Butry-sur-Oise;95;95120;2.32;2023;;
Cergy;95;95127;1.91;2012;;
Cergy;95;95127;1.9;2013;;
Cergy;95;95127;1.87;2014;;
Cergy;95;95127;1.86;2015;;
Cergy;95;95127;1.83;2016;;
Cergy;95;95127;1.85;2017;;
Cergy;95;95127;2.06;2018;;
Cergy;95;95127;1.79;2019;;
Cergy;95;95127;1.99;2020;;
Cergy;95;95127;2.09;2021;;
Cergy;95;95127;2.35;2022;;
Cergy;95;95127;2.43;2023;;
Champagne-sur-Oise;95;95134;2.78;2012;;
Champagne-sur-Oise;95;95134;;2013;;
Champagne-sur-Oise;95;95134;2.7;2014;;
Champagne-sur-Oise;95;95134;;2015;;
Champagne-sur-Oise;95;95134;2.7;2016;;
Champagne-sur-Oise;95;95134;2.73;2017;;
Champagne-sur-Oise;95;95134;2.92;2018;;
Champagne-sur-Oise;95;95134;2.94;2019;;
Champagne-sur-Oise;95;95134;2.97;2020;;
Champagne-sur-Oise;95;95134;3.02;2021;;
Champagne-sur-Oise;95;95134;3.05;2022;;
Champagne-sur-Oise;95;95134;3.28;2023;;
La Chapelle-en-Vexin;95;95139;2.71;2012;;
La Chapelle-en-Vexin;95;95139;2.82;2013;;
La Chapelle-en-Vexin;95;95139;2.83;2014;;
La Chapelle-en-Vexin;95;95139;3.09;2015;;
La Chapelle-en-Vexin;95;95139;3.03;2016;;
La Chapelle-en-Vexin;95;95139;2.41;2017;;
La Chapelle-en-Vexin;95;95139;2.38;2018;;
La Chapelle-en-Vexin;95;95139;2.6;2019;;
La Chapelle-en-Vexin;95;95139;2.62;2020;;
La Chapelle-en-Vexin;95;95139;2.67;2021;;
La Chapelle-en-Vexin;95;95139;2.73;2022;;
La Chapelle-en-Vexin;95;95139;3.0;2023;;
Chars;95;95142;2.84;2012;;
Chars;95;95142;2.81;2013;;
Chars;95;95142;2.8;2014;;
Chars;95;95142;2.84;2015;;
Chars;95;95142;2.83;2016;;
Chars;95;95142;2.9;2017;;
Chars;95;95142;3.16;2018;;
Chars;95;95142;3.19;2019;;
Chars;95;95142;3.15;2020;;
Chars;95;95142;3.25;2021;;
Chars;95;95142;3.53;2022;;
Chars;95;95142;3.53;2023;;
Châtenay-en-France;95;95144;3.06;2012;;
Châtenay-en-France;95;95144;3.08;2013;;
Châtenay-en-France;95;95144;;2014;;
Châtenay-en-France;95;95144;;2015;;
Châtenay-en-France;95;95144;;2016;;
Châtenay-en-France;95;95144;;2017;;
Châtenay-en-France;95;95144;3.43;2018;;
Châtenay-en-France;95;95144;3.78;2019;;
Châtenay-en-France;95;95144;3.65;2020;;
Châtenay-en-France;95;95144;3.8;2021;;
Châtenay-en-France;95;95144;;2022;;
Châtenay-en-France;95;95144;4.24;2023;;
Chaumontel;95;95149;;2012;;
Chaumontel;95;95149;;2013;;
Chaumontel;95;95149;;2014;;
Chaumontel;95;95149;;2015;;
Chaumontel;95;95149;;2016;;
Chaumontel;95;95149;;2017;;
Chaumontel;95;95149;;2018;;
Chaumontel;95;95149;;2019;;
Chaumontel;95;95149;2.58;2020;;
Chaumontel;95;95149;2.59;2021;;
Chaumontel;95;95149;2.93;2022;;
Chaumontel;95;95149;2.98;2023;;
Chauvry;95;95151;2.05;2012;;
Chauvry;95;95151;2.04;2013;;
Chauvry;95;95151;2.05;2014;;
Chauvry;95;95151;2.06;2015;;
Chauvry;95;95151;1.97;2016;;
Chauvry;95;95151;1.97;2017;;
Chauvry;95;95151;1.97;2018;;
Chauvry;95;95151;1.86;2019;;
Chauvry;95;95151;2.09;2020;;
Chauvry;95;95151;2.13;2021;;
Chauvry;95;95151;2.25;2022;;
Chauvry;95;95151;2.32;2023;;
Chennevières-lès-Louvres;95;95154;;2012;;
Chennevières-lès-Louvres;95;95154;1.93;2013;;
Chennevières-lès-Louvres;95;95154;;2014;;
Chennevières-lès-Louvres;95;95154;1.97;2015;;
Chennevières-lès-Louvres;95;95154;1.97;2016;;
Chennevières-lès-Louvres;95;95154;2.03;2017;;
Chennevières-lès-Louvres;95;95154;2.01;2018;;
Chennevières-lès-Louvres;95;95154;2.03;2019;;
Chennevières-lès-Louvres;95;95154;2.73;2020;;
Chennevières-lès-Louvres;95;95154;2.74;2021;;
Chennevières-lès-Louvres;95;95154;2.89;2022;;
