Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Bagnères-de-Bigorre,6.859999999999999,130,130118,54310
Longvilliers,6.859999999999999,140,140876,58203
Montoire-sur-le-Loir,6.84,82,82298,33056
Sainte-Hélène,6.84,152,153000,62198
Saint-Jean-le-Vieux,6.84,103,104251,42995
La Rivière,6.83,71,71694,28852
Bacqueville-en-Caux,6.82,152,152102,62316
Sainte-Hermine,6.82,170,170446,69502
Beauval-en-Caux,6.8100000000000005,152,152126,62338
Ternant,6.8100000000000005,75,75729,29918
Les Monts d'Aunay,6.81,28,28054,441438
Ussel,6.79,80,80842,31100
Le Faouët,6.77,78,78114,30437
Saint-Sylvain,6.77,90,91310,37161
Auxy,6.76,116,116033,47053
Baye,6.76,80,80047,31192
Sainte-Marie-du-Mont,6.76,88,88927,34865
Vitrac,6.76,102,103315,41794
Saint-Victor,6.75,34,35071,13861
Saint-Jean-de-Folleville,6.74,152,153184,63382
Terres-de-Caux,6.74,152,152516,441932
Aumont,6.73,119,119069,48508
Vincelles,6.71,140,141122,56496
Marolles,6.7,106,106883,41645
Saint-Aubin-sur-Mer,6.69,90,91126,36988
Brens,6.6899999999999995,163,163137,67855
Marcilly,6.6899999999999995,127,127564,51415
Pérignac,6.6899999999999995,33,33531,12468
Saint-Martin-d'Uriage,6.6899999999999995,114,115266,46116
Aulnay-sous-Bois,6.67,186,186010,73224
Drancy,6.67,186,186058,73242
Dugny,6.67,186,186060,73244
Le Blanc-Mesnil,6.67,186,186014,73228
Le Bourget,6.67,186,186026,73234
Saint-Barthélemy,6.67,148,149073,61038
Sevran,6.67,186,186142,73288
Tremblay-en-France,6.67,186,186146,73292
Bagnolet,6.66,186,186012,73226
Bobigny,6.66,186,186016,73230
Bondy,6.66,186,186020,73232
Le Pré-Saint-Gervais,6.66,186,186122,73276
Les Lilas,6.66,186,186090,73254
Noisy-le-Sec,6.66,186,186106,73268
Pantin,6.66,186,186110,73270
Romainville,6.66,186,186126,73280
Sourdeval,6.66,100,101164,440748
Tourouvre au Perche,6.640000000000001,122,122982,440604
Erquy,6.64,44,44108,16688
Plurien,6.64,44,44484,17050
Île-de-Bréhat,6.62,22,22016,8308
Le Vernet,6.62,55,55897,22584
Hermies,6.609999999999999,124,124880,51234
Clermont-le-Fort,6.6000000000000005,93,93444,36921
Bonnevaux,6.6,99,99116,40382
Saint-Quentin-sur-le-Homme,6.6,100,101086,39056
Saint-Just,6.58,36,36654,14997
Monnières,6.57,83,83445,33191
Saint-Cyr-sur-Morin,6.57,77,77405,32244
Saint-Ouen-sur-Morin,6.57,77,77429,32267
Moulin-Neuf,6.53,33,33510,12597
Gourdon,6.52,123,123417,49984
Pars-lès-Romilly,6.52,20,20560,7576
Autreville,6.51,90,90061,36071
Trois-Rivières,6.51,1051,177757,297553
Beauregard,6.5,47,47050,18148
Biron,6.5,88,88174,35646
Saint-Germain,6.5,87,88045,35886
Ablon-sur-Seine,6.49,188,188002,73302
Arcueil,6.49,188,188006,73306
Barbery,6.49,74,74084,28877
Cachan,6.49,188,188032,73314
Cerny,6.49,182,182258,72834
Chevilly-Larue,6.49,188,188042,73322
Choisy-le-Roi,6.49,188,188044,73324
Gentilly,6.49,188,188074,73332
Ivry-sur-Seine,6.49,188,188082,73336
L' Haÿ-les-Roses,6.49,188,188076,73334
Le Kremlin-Bicêtre,6.49,188,188086,73340
Orly,6.49,188,188108,73354
Rungis,6.49,188,188130,73366
Thiais,6.49,188,188146,73378
Villejuif,6.49,188,188152,73384
Vitry-sur-Seine,6.49,188,188162,73394
Locmaria-Plouzané,6.48,58,58260,23294
Saint-Vérand,6.48,107,107702,44347
Tréméven,6.48,51,51667,20449
Belmont,6.470000000000001,77,77086,30562
Calès,6.470000000000001,70,70120,26858
Saint-Witz,6.47,190,191160,73708
La Bosse,6.46,72,72040,30151
Rully,6.45,131,131938,54452
Changé,6.44,178,178166,71626
Le Castellet,6.44,91,91117,38018
La Ferrière,6.43,122,122195,49426
Lavergne,6.41,93,93309,36280
Charron,6.4,40,40145,14985
Estrées,6.4,61,61505,24535
Le Hom,6.3999999999999995,28,29378,440764
Coulimer,6.390000000000001,122,122242,49600
Saint-Antoine,6.390000000000001,72,73044,28745
Germigney,6.380000000000001,109,109514,44983
Breteuil,6.38,87,87216,244279
Fanlac,6.38,24,24174,9090
Laon,6.38,4,4816,2204
